respondent_id,dna_segment,monthly_income_midpoint,age_group,city_tier,gender,occupation,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,stress_score,life_stage,current_mood,reader_identity,personalization_importance,books_per_month,reads_morning,reads_commute,reads_afternoon,reads_evening,reads_latenight,reads_weekend,reading_motivation,genre_fantasy,genre_selfhelp,genre_literary,genre_romance,genre_thriller,genre_biography,genre_business,discovery_social,discovery_friends,discovery_apps,social_sharing_level,format_preference,interest_books,interest_journal,interest_bookmark,interest_candle,interest_tote,interest_apparel,interest_decor,interest_annotation,interest_pin,subscription_interest,eco_importance,gifting_behaviour,barrier_price,barrier_quality,barrier_trust,barrier_delivery,barrier_privacy,barrier_platform,trust_driver,discount_preference,psm_too_cheap,psm_bargain,psm_expensive_ok,psm_too_expensive,max_single_spend,lifestyle_spend,monthly_book_spend,shops_amazon,shops_flipkart,shops_d2c,shops_instagram,shops_offline,payment_method,impulse_buying,nps_proxy,switching_tendency,platform_interest,share_intent,reading_habit_status,purchase_intent,will_buy,format_class,data_quality_flag
BDNA0018,Emotional Reader,15000,6,5,2,4,4,2,3,5,2,7,1,3,5,2,2.5,1,1,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,3,1,1,1,0,0,1,0,1,0,0,3,3,2,1,0,0,0,0,0,1,3,330,611.0,1063,1247,750,1000,100,1,1,0,0,0,3,3,9,3,3,4,5,2,1,1,clean
BDNA0019,Productivity Achiever,30000,4,1,2,2,4,5,2,4,2,6,3,5,5,3,8.0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,3,4,0,1,1,1,1,1,0,1,1,2,2,2,0,0,0,0,0,1,2,2,347,823.0,1331,1964,1500,2250,350,0,1,1,0,0,2,3,7,2,2,1,2,1,1,3,clean
BDNA0020,Midnight Escapist,15000,2,2,1,4,3,2,4,4,5,12,4,5,1,5,8.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,3,1,1,1,1,1,1,0,1,0,1,1,3,1,1,0,0,0,0,0,1,2,148,389.0,718,908,350,1000,350,1,0,1,1,0,1,2,8,2,3,1,2,2,1,1,clean
BDNA0021,Emotional Reader,5000,4,4,1,2,3,3,3,5,4,7,2,3,3,3,5.0,1,1,1,1,0,0,5,0,0,1,1,0,0,0,1,1,0,4,1,1,0,1,0,1,1,1,0,0,2,3,1,0,0,0,0,1,1,5,3,176,473.0,816,1064,150,250,100,0,1,0,0,0,4,2,9,1,5,1,3,3,0,1,clean
BDNA0022,Midnight Escapist,15000,7,2,1,1,2,2,3,3,5,10,1,1,1,3,8.0,0,0,0,0,1,0,3,1,0,0,0,1,1,0,0,1,0,3,3,0,0,1,1,1,1,1,0,0,2,4,2,1,0,0,1,1,0,5,2,182,310.0,596,942,750,1000,350,1,1,0,0,1,1,1,7,4,1,1,2,3,0,2,clean
BDNA0023,Midnight Escapist,5000,4,3,1,1,2,3,2,4,4,10,1,3,1,5,2.5,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,2,3,1,1,1,0,1,0,0,0,1,1,2,3,0,0,0,1,0,1,3,5,101,291.0,483,755,150,250,100,0,0,0,1,1,1,4,6,3,1,2,1,1,1,2,clean
BDNA0024,Productivity Achiever,60000,2,2,1,4,2,5,4,3,3,8,3,2,4,5,2.5,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1,1,3,2,1,0,0,0,0,0,0,0,0,3,2,2,0,0,1,0,1,0,2,2,340,1006.0,1710,2274,2500,7500,750,0,1,0,1,1,3,2,7,1,1,4,5,1,1,1,clean
BDNA0025,Productivity Achiever,30000,6,4,1,2,3,4,3,3,2,6,5,2,1,3,8.0,1,1,0,1,0,0,2,1,1,0,0,1,1,0,0,1,0,4,2,0,1,1,0,1,0,0,1,0,1,3,3,0,1,1,0,0,0,4,1,360,,1264,1751,1500,2250,750,0,0,1,0,0,1,4,8,2,3,2,1,3,0,1,missing_psm
BDNA0026,Curious Explorer,15000,4,1,1,6,5,4,4,4,4,4,2,4,4,5,1.0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,1,1,2,5,1,0,1,0,1,1,0,0,1,3,2,3,1,0,0,0,1,1,2,5,132,327.0,377,727,750,250,350,1,1,1,0,0,1,1,6,3,5,1,4,2,1,3,clean
BDNA0027,Midnight Escapist,15000,3,1,1,2,3,2,2,4,4,13,2,3,5,5,5.0,0,1,1,1,1,0,3,1,1,0,1,0,0,0,1,1,0,4,4,1,1,1,0,0,1,1,0,0,3,3,2,0,1,0,0,0,0,1,1,183,478.0,741,1269,150,1000,350,1,1,0,0,0,1,2,6,1,2,3,3,3,0,3,clean
BDNA0028,Productivity Achiever,60000,4,3,2,2,5,4,3,3,2,4,3,2,2,5,2.5,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,1,0,4,3,1,0,1,0,1,0,0,1,0,3,2,1,0,0,1,0,0,0,1,2,363,947.0,1516,1930,2500,4500,750,0,1,0,0,0,2,3,8,4,1,2,2,2,1,2,clean
BDNA0029,Emotional Reader,15000,3,1,1,2,3,4,3,4,4,8,4,3,5,3,2.5,0,0,0,1,1,0,3,1,0,0,1,0,1,0,0,0,0,3,1,0,1,0,0,1,0,1,0,0,3,3,2,0,0,1,0,1,0,2,1,388,643.0,962,1412,750,1000,350,1,1,0,1,0,3,1,9,3,2,4,2,3,0,1,clean
BDNA0030,Midnight Escapist,15000,3,5,2,2,3,2,2,4,4,9,4,3,1,4,2.5,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,3,2,0,1,1,1,1,0,0,1,0,1,3,1,1,0,0,0,1,0,2,1,145,448.0,858,938,350,1000,350,0,1,0,1,1,1,3,9,2,2,4,1,1,1,1,clean
BDNA0031,Emotional Reader,15000,5,5,1,5,3,4,2,3,3,10,5,3,3,4,5.0,1,0,1,1,0,0,3,0,1,1,1,1,1,0,0,0,0,3,1,1,0,1,1,1,0,0,1,0,4,4,2,1,0,0,0,0,0,3,4,233,443.0,826,906,750,1000,100,1,0,1,1,0,1,3,7,1,2,1,2,2,1,1,clean
BDNA0032,Midnight Escapist,15000,3,4,1,1,3,3,3,4,4,13,4,5,2,4,1.0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,2,3,0,1,1,0,1,0,0,0,0,2,2,2,1,1,0,0,0,0,3,3,171,471.0,618,1150,750,1000,100,0,0,0,0,1,2,3,10,1,2,2,2,2,1,2,clean
BDNA0033,Midnight Escapist,30000,3,2,1,1,3,3,3,3,3,8,1,2,1,4,5.0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,1,3,3,1,0,1,1,0,0,0,2,1,286,617.0,1085,1491,750,2250,350,1,0,0,0,1,3,3,9,2,3,3,1,2,1,1,clean
BDNA0034,Non-Reader,60000,2,5,2,3,2,2,3,3,2,8,2,1,6,2,0.0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,1,1,4,277,631.0,1068,1455,150,250,350,0,0,0,1,0,1,3,3,4,4,4,4,4,0,2,clean
BDNA0035,Non-Reader,60000,6,1,2,3,2,3,3,2,3,4,3,1,5,3,0.0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,4,3,1,0,1,0,0,0,6,5,275,631.0,1026,1332,150,250,350,1,1,0,0,0,1,4,5,3,3,4,2,4,0,1,clean
BDNA0036,Curious Explorer,15000,2,1,3,5,4,3,4,3,3,6,7,4,5,5,1.0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,2,3,1,1,0,0,0,1,1,1,1,162,480.0,764,1160,350,1000,100,1,0,0,1,1,1,2,9,2,3,1,5,3,0,1,clean
BDNA0037,Productivity Achiever,60000,6,1,1,3,4,4,3,4,3,6,3,2,2,4,5.0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,0,0,0,3,2,1,1,0,0,1,1,0,1,0,2,3,3,0,0,0,0,1,1,1,1,509,1025.0,1676,2215,2500,4500,1500,0,0,0,0,0,2,3,5,3,2,2,2,4,0,1,clean
BDNA0038,Midnight Escapist,15000,5,1,2,4,3,2,3,3,5,12,1,1,1,5,5.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,4,1,0,0,1,1,0,0,0,0,1,3,1,0,1,1,0,0,0,1,2,228,446.0,698,1026,750,1000,100,1,0,0,0,1,1,2,10,1,5,2,2,1,1,3,clean
BDNA0039,Emotional Reader,30000,4,1,1,4,3,3,4,5,3,6,2,1,1,4,5.0,1,0,1,1,0,0,3,0,1,1,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,1,0,2,3,1,1,0,0,0,1,1,6,2,251,640.0,1038,1527,1500,1000,350,1,0,0,0,0,4,2,8,1,1,4,3,3,0,1,clean
BDNA0040,Productivity Achiever,30000,3,3,2,2,3,5,3,2,2,5,2,4,2,4,0.0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,1,3,4,0,0,1,0,0,1,0,1,0,3,2,3,1,0,0,0,0,0,4,3,307,776.0,1301,1767,1500,2250,350,1,1,1,0,0,1,4,9,2,3,2,2,1,1,3,clean
BDNA0041,Midnight Escapist,30000,4,1,1,6,3,1,3,4,5,11,6,2,1,5,5.0,1,0,0,1,1,0,5,1,0,0,1,0,0,0,1,0,0,3,1,1,1,0,1,1,1,1,0,1,2,3,4,0,1,1,0,0,1,1,1,216,535.0,884,1512,750,1000,350,0,1,0,0,0,1,1,6,4,4,2,2,4,0,1,clean
BDNA0042,Productivity Achiever,100000,4,2,1,5,4,4,3,2,2,5,1,2,2,3,2.5,1,1,0,0,0,0,5,1,0,0,1,1,0,1,1,1,0,3,3,0,0,1,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,2,3,516,1243.0,1835,2848,2500,7500,1500,1,0,1,0,0,1,1,8,4,2,4,1,2,1,2,clean
BDNA0043,Midnight Escapist,30000,4,3,1,1,1,2,2,4,4,8,6,6,1,4,5.0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,2,1,1,1,1,1,0,0,1,0,1,2,3,0,1,0,0,0,0,3,1,138,453.0,596,966,1500,1000,350,1,0,0,0,0,1,1,9,1,2,1,2,1,1,1,clean
BDNA0044,Non-Reader,30000,6,2,2,2,4,3,3,2,3,5,2,5,6,2,0.0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,4,1,0,0,0,1,0,0,0,0,4,1,3,1,0,1,0,1,0,5,1,182,397.0,719,799,350,1000,750,0,0,1,1,1,1,3,2,2,5,4,5,5,0,3,clean
BDNA0045,Midnight Escapist,5000,4,2,2,2,3,2,3,4,5,13,1,3,6,4,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,3,2,1,1,1,1,0,1,1,0,0,1,1,2,0,1,0,0,0,0,2,1,171,320.0,566,646,150,250,100,0,0,1,1,1,1,3,8,1,1,2,4,1,1,1,clean
BDNA0046,Emotional Reader,15000,4,1,1,3,4,4,3,5,3,5,2,1,3,3,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,3,1,1,1,0,1,1,0,0,0,1,1,3,2,0,0,0,0,0,0,2,2,240,438.0,544,1045,750,1000,350,1,0,0,1,0,1,3,8,1,1,2,1,1,1,1,clean
BDNA0047,Productivity Achiever,15000,4,3,1,2,3,5,4,2,4,7,4,3,2,4,8.0,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,1,3,2,3,0,0,1,0,0,1,5,2,274,728.0,1302,1566,750,1000,100,0,1,1,0,0,4,4,7,1,5,5,1,2,1,1,clean
BDNA0048,Emotional Reader,5000,3,4,1,1,3,4,2,5,3,6,7,3,5,5,5.0,1,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1,0,1,2,3,1,1,1,0,0,0,1,3,4,285,449.0,685,1113,150,250,100,1,0,0,0,1,4,2,10,2,1,3,1,5,0,1,clean
BDNA0049,Emotional Reader,30000,4,3,2,4,5,3,3,5,3,5,2,6,3,4,2.5,0,1,0,1,0,0,5,1,1,1,0,0,0,0,1,0,0,3,1,1,1,0,1,0,1,0,0,0,3,3,2,1,0,0,0,0,0,2,2,188,579.0,887,1321,1500,2250,750,1,1,0,0,1,2,2,4,3,3,2,5,2,1,1,clean
BDNA0050,Midnight Escapist,30000,3,4,2,1,2,3,3,4,4,10,1,1,2,5,0.0,0,1,1,1,1,0,3,0,1,0,0,0,1,0,1,0,0,4,1,1,1,0,1,1,0,1,1,0,2,2,1,0,1,0,0,1,0,5,4,285,569.0,880,1355,750,2250,350,1,0,1,0,1,2,2,9,1,2,1,3,3,0,1,clean
BDNA0051,Non-Reader,5000,4,4,2,3,3,3,4,3,1,3,3,6,6,1,0.0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,4,2,4,1,0,1,0,0,0,3,4,70,86.0,136,216,150,250,100,1,0,0,0,0,1,4,2,3,5,3,4,2,1,2,clean
BDNA0052,Curious Explorer,5000,2,5,2,3,3,3,4,3,4,4,2,1,1,4,8.0,0,0,0,1,1,0,5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,2,0,0,0,0,1,0,1,3,132,330.0,508,829,150,250,100,1,0,0,0,0,2,1,7,4,1,1,3,2,1,1,clean
BDNA0053,Non-Reader,60000,5,1,2,2,2,2,3,3,2,3,3,5,6,2,0.0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,4,2,3,0,1,1,1,0,0,4,3,281,676.0,1125,1555,1500,2250,350,1,0,1,0,0,2,3,1,4,3,5,4,5,0,2,clean
BDNA0054,Non-Reader,30000,3,3,2,3,2,3,3,2,2,6,7,6,5,3,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,3,1,3,0,1,0,1,0,0,2,1,312,544.0,973,1213,750,250,350,0,0,0,1,0,1,4,4,4,4,4,5,5,0,2,clean
BDNA0055,Emotional Reader,5000,4,1,2,2,2,4,3,4,4,10,3,6,6,4,8.0,0,0,0,1,1,0,3,0,0,1,1,1,0,0,0,0,1,3,2,1,1,0,0,0,1,0,1,0,1,1,2,1,0,0,0,0,0,2,5,191,421.0,802,965,150,250,100,0,0,1,0,0,4,3,9,3,2,3,1,1,1,1,clean
BDNA0056,Non-Reader,15000,3,1,2,1,3,4,3,3,3,3,7,6,5,3,0.0,0,0,1,0,0,0,6,0,0,1,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,4,2,2,0,0,1,0,0,0,1,2,42,167.0,316,396,150,250,350,0,0,0,1,0,4,3,6,2,5,5,5,3,0,3,clean
BDNA0057,Midnight Escapist,5000,3,4,1,1,3,3,3,5,5,8,6,2,3,5,8.0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,2,1,1,1,1,1,1,0,1,0,0,2,3,2,0,1,0,0,0,0,3,1,101,328.0,663,743,150,250,100,1,1,0,0,0,1,2,6,4,2,2,2,2,1,1,clean
BDNA0058,Midnight Escapist,30000,3,1,1,2,3,3,3,4,4,9,1,1,2,4,2.5,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,3,1,1,0,1,0,1,1,0,0,0,1,3,2,1,1,0,1,0,0,2,2,253,512.0,842,1085,1500,1000,750,1,1,0,1,1,1,2,9,1,2,2,3,1,1,1,clean
BDNA0059,Midnight Escapist,30000,3,3,1,2,3,1,3,3,4,13,4,3,1,4,2.5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,4,1,1,0,1,0,1,0,1,0,1,1,2,2,1,0,0,1,0,0,1,1,322,597.0,972,1396,1500,1000,350,0,1,0,0,0,1,2,9,4,1,1,1,1,1,1,clean
BDNA0060,Productivity Achiever,30000,5,4,3,2,3,5,2,3,1,5,5,2,6,4,2.5,1,1,0,0,0,0,4,0,0,0,0,0,1,1,0,1,1,2,3,1,1,1,0,0,0,0,1,0,3,2,2,1,1,0,0,0,0,3,6,374,890.0,1467,2126,1500,2250,350,1,0,0,0,1,1,2,7,4,4,1,1,1,1,2,clean
BDNA0061,Productivity Achiever,100000,3,2,2,3,4,3,4,3,2,6,7,6,2,2,2.5,1,0,0,0,1,0,2,0,1,1,0,0,1,0,1,1,0,3,5,0,1,1,1,0,0,0,0,0,3,2,1,0,1,1,0,0,1,2,4,548,1225.0,2054,2858,2500,7500,1500,1,1,1,0,0,1,3,4,2,1,2,2,3,0,3,clean
BDNA0062,Midnight Escapist,15000,3,1,1,1,3,3,3,3,3,10,5,5,3,4,5.0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,1,1,0,1,0,0,1,0,1,3,1,3,0,0,1,1,0,0,4,4,153,411.0,516,798,350,250,100,1,0,0,0,0,1,2,7,1,3,3,1,2,1,1,clean
BDNA0063,Curious Explorer,15000,2,1,1,2,4,4,4,2,3,7,1,3,4,5,8.0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,2,4,1,0,1,0,1,0,1,1,1,2,3,2,0,1,0,0,0,0,5,2,258,,781,1076,350,1000,100,1,1,0,1,0,1,1,8,3,2,2,3,2,1,3,missing_psm
BDNA0064,Productivity Achiever,60000,4,2,2,1,4,5,3,3,2,7,3,3,5,3,1.0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,3,4,1,1,1,1,1,0,0,1,0,2,1,2,0,0,1,0,1,0,2,6,523,1057.0,1757,2395,2500,4500,1500,1,0,0,0,0,2,1,6,2,3,2,2,3,0,3,clean
BDNA0065,Midnight Escapist,30000,2,4,2,2,3,1,2,4,4,11,2,6,4,4,1.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,2,4,0,1,1,1,1,0,1,1,0,3,2,1,1,0,1,0,0,0,5,5,226,548.0,817,1247,1500,1000,350,1,0,0,0,0,4,2,10,3,4,1,2,1,1,3,clean
BDNA0066,Emotional Reader,5000,5,4,1,4,4,3,3,3,3,12,2,2,3,4,2.5,0,0,0,1,0,0,3,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,2,1,0,1,0,1,0,0,2,4,104,443.0,729,948,150,250,100,0,1,0,0,0,1,2,6,3,1,3,1,4,0,1,clean
BDNA0067,Midnight Escapist,60000,3,2,1,1,3,2,3,4,5,9,2,2,1,3,5.0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,1,1,1,3,2,1,1,0,0,0,0,1,6,335,812.0,1165,1854,2500,4500,1500,1,1,1,0,0,1,2,6,2,2,2,1,2,1,1,clean
BDNA0068,Curious Explorer,100000,2,3,1,2,5,3,5,3,2,4,1,4,3,4,2.5,0,0,1,1,0,0,2,1,1,1,1,0,1,0,1,1,0,3,1,1,0,1,0,1,1,0,1,1,1,2,3,0,0,0,0,0,0,1,5,425,1099.0,1642,2659,2500,4500,1500,1,0,1,0,0,1,3,8,1,4,2,1,1,1,1,clean
BDNA0069,Midnight Escapist,15000,3,2,2,2,3,3,2,4,3,8,3,5,1,5,2.5,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,2,3,1,1,1,1,0,1,0,0,0,1,3,2,0,0,0,0,0,0,1,1,155,331.0,531,675,750,1000,350,0,1,0,0,0,1,2,5,2,3,3,3,1,1,2,clean
BDNA0070,Non-Reader,30000,4,4,2,1,3,1,3,3,4,6,7,5,6,3,1.0,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,5,3,210,381.0,634,984,350,250,750,0,1,0,0,1,1,3,4,1,4,3,3,3,0,3,clean
BDNA0071,Curious Explorer,5000,4,2,1,2,4,3,4,4,3,8,3,4,4,4,5.0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,5,1,0,1,1,0,0,1,1,0,2,1,2,0,0,0,0,0,0,2,2,235,351.0,587,953,150,250,100,1,0,1,0,0,4,2,8,2,4,1,3,4,0,3,clean
